NAME_EN,NAME_KR,DESCRIPTION_EN,DESCRIPTION_KR,IMAGE_URL,COMPANY_NAME_EN,INDUSTRY_NAME_EN,INDUSTRY_NAME_KR
30% OFF Wholesale on all PlusCBD Pet products at the show,30% OFF Wholesale on all PlusCBD Pet products at the show,"PlusCBD Pet Soothing Hemp Liquid in Beef, Chicken or Peanut Butter Large Breed 25mg soft gels Calming Care Soft Chews - 30ct and 60ct Hip & Joint Health Soft Chews 30ct and 60ct PlusCBD Pet Dental Chews 30ct PlusCBD Pet Digestive Chews 30ct","PlusCBD Pet Soothing Hemp Liquid in Beef, Chicken or Peanut Butter Large Breed 25mg soft gels Calming Care Soft Chews - 30ct and 60ct Hip & Joint Health Soft Chews 30ct and 60ct PlusCBD Pet Dental Chews 30ct PlusCBD Pet Digestive Chews 30ct",,+PlusCBD by CV Sciences,"Made in America, CBD/Hemp Products, Natural Products, Exclusive show specials","Made in America, CBD/Hemp Products, Natural Products, Exclusive show specials"
Pet Origins - New Look & Innovation,Pet Origins - New Look & Innovation,"Discover Pet Origins™ — our new line of vet-formulated, USA-made supplements designed for total pet wellness. From 11-in-1 Multis to Collagen Powder, Hip & Joint Mega, and Off the Poop Loop, each product is crafted with clean ingredients and targeted benefits. Visit us at booth #3702 to explore our full lineup of innovative chews and powders supporting digestion, mobility, immunity, and more!","Discover Pet Origins™ — our new line of vet-formulated, USA-made supplements designed for total pet wellness. From 11-in-1 Multis to Collagen Powder, Hip & Joint Mega, and Off the Poop Loop, each product is crafted with clean ingredients and targeted benefits. Visit us at booth #3702 to explore our full lineup of innovative chews and powders supporting digestion, mobility, immunity, and more!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1124/6a12037d88439bd119403be83a81c470-original-peto_new-product-showcase-group_900x480_0625.jpg,"21st Century Animal Healthcare, Inc.","Locally sourced, Made in America, Sustainably sourced, Cat Products, Dog Products, Natural Products, Exclusive show specials, New Product Launch","Locally sourced, Made in America, Sustainably sourced, Cat Products, Dog Products, Natural Products, Exclusive show specials, New Product Launch"
Pet Origins - New Product Assortment,Pet Origins - New Product Assortment,"New look, on the same trusted family brand! Vet-formulated, USA-made supplements in tasty chews & easy powders. 
Innovation pets love — results retailers can trust. Check out our complete line of products in booth #  3702!!","New look, on the same trusted family brand! Vet-formulated, USA-made supplements in tasty chews & easy powders. 
Innovation pets love — results retailers can trust. Check out our complete line of products in booth #  3702!!",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/943/a1e677c1aaa1c6dbf0b737c2608e0fca-original-peto_new-product-showcase-group_900x480_0625.jpg,"21st Century Animal Healthcare, Inc.",New Product Showcase - Dog,New Product Showcase - Dog
SuperZoo Show Specials – Exclusive Wholesale Discounts at Booth #4763!,SuperZoo Show Specials – Exclusive Wholesale Discounts at Booth #4763!,Take advantage of limited-time wholesale pricing during SuperZoo! ✅ 5% Off $250+ Orders ✅ 7.5% Off $750+ Orders (Valid through 8/19/25) 💥 10% Off $750+ Orders (Valid ONLY through 8/15/25) Visit us at Booth #4763 to learn more or contact us at wholesale@4-legger.com .,Take advantage of limited-time wholesale pricing during SuperZoo! ✅ 5% Off $250+ Orders ✅ 7.5% Off $750+ Orders (Valid through 8/19/25) 💥 10% Off $750+ Orders (Valid ONLY through 8/15/25) Visit us at Booth #4763 to learn more or contact us at wholesale@4-legger.com .,,4-Legger,"Charitable Initiatives, Made in America, Sustainably sourced, Women owned, Cat Products, Day Care / Spa Products, Dog Products, Grooming Products, Natural Products, Exclusive show specials","Charitable Initiatives, Made in America, Sustainably sourced, Women owned, Cat Products, Day Care / Spa Products, Dog Products, Grooming Products, Natural Products, Exclusive show specials"
4FurBaby · Pet Wipes for Four-Legged Friends | Show Deal · 24h Delivery · Customizable · Low MOQ,4FurBaby · Pet Wipes for Four-Legged Friends | Show Deal · 24h Delivery · Customizable · Low MOQ,"Get your 4-legges pets premium 4FurBaby pet wipes! Gentle, safe, and perfect for dogs & cats. Better margins, strong repeat sales, and eco-friendly materials. All at unbeatable show prices! 24h U.S. Delivery – Fast nationwide shipping Custom Available – Add your own branding Low MOQ – Only 16 pcs (1 case) to start","Get your 4-legges pets premium 4FurBaby pet wipes! Gentle, safe, and perfect for dogs & cats. Better margins, strong repeat sales, and eco-friendly materials. All at unbeatable show prices! 24h U.S. Delivery – Fast nationwide shipping Custom Available – Add your own branding Low MOQ – Only 16 pcs (1 case) to start",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1587/f15adbb8a33a78846a7d71606517b3dd-original-amazon-banner图.png,4FurBaby,Show Specials,Show Specials
Four-Legged Friends × 4FurBaby | Show Deal · 100% Plant-Based Wipes,Four-Legged Friends × 4FurBaby | Show Deal · 100% Plant-Based Wipes,"Show Deal Special for Your Four-Legged Family Members! Choose the perfect pack for any occasion: 30-Count Travel Pack – For travel and on-the-go, free from harsh chemicals. 100-Count Daily Pack – For daily home use, made with 100% plant-based materials. 400-Count Value Pack – For multi-pet households, gentle, safe, and ideal for regular use. Special exhibition prices: Travel Pack: $1 Daily Pack (Unscented): $3 | (Lavender): $4 Value Pack (Unscented): $11 | (Lavender): $15","Show Deal Special for Your Four-Legged Family Members! Choose the perfect pack for any occasion: 30-Count Travel Pack – For travel and on-the-go, free from harsh chemicals. 100-Count Daily Pack – For daily home use, made with 100% plant-based materials. 400-Count Value Pack – For multi-pet households, gentle, safe, and ideal for regular use. Special exhibition prices: Travel Pack: $1 Daily Pack (Unscented): $3 | (Lavender): $4 Value Pack (Unscented): $11 | (Lavender): $15",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1586/14f99dbec9484e0c483013b2e2b1e2fb-original-a5宣传页正面-4.png,4FurBaby,Show Specials,Show Specials
FREE Accessories w/each Build a Cot. $11.80 Value,FREE Accessories w/each Build a Cot. $11.80 Value,"FREE Non-skid Grippers & Leg Plugs (set/4) Accessories for each Build a Cot ordered online now through Aug. 31, 2025. $11.80 Value.      Use coupon code super2025 . (Do not put the accessories in your cart or it will charge you - we will automatically send a set for each cot).","FREE Non-skid Grippers & Leg Plugs (set/4) Accessories for each Build a Cot ordered online now through Aug. 31, 2025. $11.80 Value.      Use coupon code super2025 . (Do not put the accessories in your cart or it will charge you - we will automatically send a set for each cot).",,4LEGS4PETS COTS,"Locally sourced, Made in America, Boarding Products, Cat Products, Day Care / Spa Products, Direct to Retail, Dog Products, Gifts, Other Products for Service Providers, Training Products, Exclusive show specials","Locally sourced, Made in America, Boarding Products, Cat Products, Day Care / Spa Products, Direct to Retail, Dog Products, Gifts, Other Products for Service Providers, Training Products, Exclusive show specials"
"Smakers Treat Sticks for Small Animals, by A&E Cage Co","Smakers Treat Sticks for Small Animals, by A&E Cage Co","We’re excited to announce our Smakers Treat Sticks for Small Animals, now beautifully packaged in peggable foil bags! This new packaging not only enhances the visual appeal but also preserves the freshness of our delicious treats.","We’re excited to announce our Smakers Treat Sticks for Small Animals, now beautifully packaged in peggable foil bags! This new packaging not only enhances the visual appeal but also preserves the freshness of our delicious treats.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1377/fb721c172ba54f1f0e3dfe20b379c256-original-2025-vitapol_smanimal_sellsheet-page-1-1.png,A&E Cage Company,New Product Showcase - Small Animal,New Product Showcase - Small Animal
"Smakers Treat Sticks for Pet Birds, by A&E Cage Co","Smakers Treat Sticks for Pet Birds, by A&E Cage Co","We’re excited to announce our Smakers Treat Sticks for Pet Birds, now in beautifully designed peggable foil bags! We’ve upgraded our packaging to enhance freshness and convenience while maintaining the same great quality and delicious flavors.","We’re excited to announce our Smakers Treat Sticks for Pet Birds, now in beautifully designed peggable foil bags! We’ve upgraded our packaging to enhance freshness and convenience while maintaining the same great quality and delicious flavors.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/1376/29c2eae0fc0662a1c605acec033e0f6e-original-2025-vitapol_bird_sellsheet-page-1.png,A&E Cage Company,New Product Showcase - Bird,New Product Showcase - Bird
Meet Accredo Packaging at SuperZoo - Booth #8357,Meet Accredo Packaging at SuperZoo - Booth #8357,"Looking for innovative, sustainable packaging solutions for your pet products? At Accredo Packaging, we specialize in high performance, flexible packaging solutions that help brands stand out on the shelf. Stop by our booth #8357, or schedule time to chat with our team here: SuperZoo 2025 | Accredo Packaging Booth Visit Form","Looking for innovative, sustainable packaging solutions for your pet products? At Accredo Packaging, we specialize in high performance, flexible packaging solutions that help brands stand out on the shelf. Stop by our booth #8357, or schedule time to chat with our team here: SuperZoo 2025 | Accredo Packaging Booth Visit Form",,Accredo Packaging,Show Specials,Show Specials
ADM White Label Dog Supplements,ADM White Label Dog Supplements,"ADM’s new line of white label dog supplements, pre-formulated with high quality ingredients and ready to ship with your label.","ADM’s new line of white label dog supplements, pre-formulated with high quality ingredients and ready to ship with your label.",https://static.prod01.ue1.p.pcomm.net:443/sz2025/user_content/review_items/2/982/f946fdf76f63b8fb64be1ceb756af851-original-na-all-together.png,ADM,New Product Showcase - Dog,New Product Showcase - Dog
20% Off Open Stock and Displays,20% Off Open Stock and Displays,20% Off Open Stock and Displays,20% Off Open Stock and Displays,,ADORE Pet,"Made in America, Day Care / Spa Products, Direct to Retail, Dog Products, Equine Feed & Tack, Equine Products, Grooming Products, Natural Food & Treats, Natural Products, Exclusive show specials, New Product Launch","Made in America, Day Care / Spa Products, Direct to Retail, Dog Products, Equine Feed & Tack, Equine Products, Grooming Products, Natural Food & Treats, Natural Products, Exclusive show specials, New Product Launch"
